,km_driven,seats,selling_price_USD,mileage_kmpl,max_power_bhp,engine_CC,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,year_cat_2001 - 2005,year_cat_2006 - 2010,year_cat_2011 - 2015,year_cat_2016 - 2020
82,32000,5,3780.0,24.7,47.3,796,0,0,1,0,0,1,0,0,0,0,0,0,0,1
83,38000,5,3300.0,24.7,47.3,796,0,0,1,0,0,1,0,0,0,0,0,0,0,1
84,28000,5,3480.0,19.81,68.05,1086,0,0,1,0,0,1,0,0,0,0,0,0,1,0
85,32000,5,3360.0,14.0,35.0,796,0,0,1,0,0,1,0,0,0,0,0,0,0,1
86,44000,5,2700.0,26.2,58.2,998,0,1,0,0,0,1,0,0,0,0,0,1,0,0
87,42000,5,5460.0,16.47,74.0,1198,0,0,1,0,0,1,0,0,0,0,0,0,1,0
88,45000,5,4212.0,19.81,68.05,1086,0,0,1,0,0,1,0,1,0,0,0,0,1,0
89,12000,5,6420.0,15.04,103.6,1598,0,0,1,0,0,1,0,1,0,0,0,0,1,0
90,55500,5,2100.0,18.2,67.1,998,0,0,1,0,0,1,0,0,0,0,0,1,0,0
91,61500,5,6300.0,18.5,82.85,1197,0,0,1,0,0,1,0,0,0,0,0,0,1,0
92,150000,5,7200.0,26.59,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
93,72000,5,6780.0,19.1,82.0,1197,0,0,1,0,0,0,0,0,0,0,0,0,0,1
94,68000,5,1440.0,19.7,46.3,796,0,0,1,0,0,1,0,0,0,1,0,1,0,0
95,110000,5,8700.0,22.54,88.73,1396,1,0,0,1,0,1,0,0,0,0,0,0,0,1
96,77000,5,2220.0,21.79,67.05,998,0,0,1,0,0,1,0,1,0,0,0,1,0,0
97,100000,5,2400.0,18.8,90.0,1248,1,0,0,1,0,1,0,1,0,0,0,1,0,0
98,10000,5,7380.0,21.21,81.8,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
99,100000,7,3240.0,15.37,73.0,1196,0,0,1,1,0,1,0,0,0,1,0,0,0,1
100,35000,5,7320.0,21.4,83.1,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
101,70000,8,7500.0,11.79,120.0,2179,1,0,0,1,0,0,0,1,0,0,0,0,1,0
102,5000,5,4800.0,19.0,94.68,1194,0,0,1,1,0,1,0,1,0,0,0,0,0,1
103,37800,5,10392.0,17.0,121.3,1591,0,0,1,1,0,1,0,0,0,0,0,0,0,1
104,114000,5,8400.0,14.3,160.0,1798,0,0,1,1,0,1,0,0,0,0,0,1,0,0
105,48000,5,3600.0,15.8,65.0,1172,0,0,1,1,0,1,0,0,0,0,0,1,0,0
106,32000,7,20400.0,15.1,155.0,2179,1,0,0,1,0,1,0,0,0,0,0,0,0,1
107,100000,5,4500.0,19.09,69.01,1405,1,0,0,1,0,1,0,0,0,0,0,0,0,1
108,150000,5,6264.0,22.32,126.32,1582,1,0,0,1,0,1,0,1,0,0,0,0,1,0
109,69000,5,5423.988,21.9,88.76,1396,1,0,0,1,0,1,0,0,0,0,0,0,1,0
110,100000,5,3600.0,14.53,138.1,1798,0,0,1,1,0,1,0,1,0,0,0,1,0,0
111,13000,5,5700.0,21.63,67.04,998,0,0,1,1,0,1,0,0,0,0,0,0,0,1
112,60000,5,9360.0,24.3,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
113,40000,5,7140.0,20.85,83.14,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
114,35000,5,5280.0,20.51,67.04,998,0,0,1,1,0,1,0,0,0,0,0,0,0,1
115,70000,5,4800.0,20.45,83.8,1461,1,0,0,1,0,1,0,0,0,1,0,0,1,0
116,50000,5,13680.0,19.67,126.2,1582,1,0,0,1,0,1,0,0,0,0,0,0,0,1
117,76139,5,10200.0,23.0,98.96,1498,1,0,0,1,0,1,0,0,0,0,0,0,0,1
118,175000,5,4440.0,19.3,73.9,1248,1,0,0,1,0,1,1,0,0,0,0,0,1,0
119,25000,5,4200.0,23.01,67.0,999,0,0,1,1,0,1,0,0,0,0,0,0,0,1
120,40000,5,4320.0,23.1,67.04,998,0,0,1,1,0,1,0,1,0,0,0,0,1,0
121,65000,5,1260.0,19.7,46.3,796,0,0,1,1,0,1,1,0,0,0,0,1,0,0
122,90000,7,7500.0,20.77,88.76,1248,1,0,0,1,0,1,0,1,0,0,0,0,1,0
123,80000,5,1620.0,17.92,62.1,1086,0,0,1,1,0,1,0,1,0,0,0,1,0,0
124,110000,7,8400.0,20.77,88.76,1248,1,0,0,1,0,1,0,1,0,0,0,0,1,0
125,1303,5,8280.0,17.8,86.7,1198,0,0,1,0,0,1,0,0,0,0,0,0,0,1
126,31800,5,47700.0,17.01,188.0,1968,1,0,0,0,0,0,0,0,0,0,0,0,0,1
127,20000,5,61800.0,22.37,214.56,2487,0,0,1,0,0,0,0,0,0,0,0,0,0,1
128,45000,5,38400.0,19.33,177.0,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,1
129,17000,5,49200.0,9.5,280.0,3604,0,0,1,1,0,0,0,0,0,0,0,0,0,1
130,21000,7,54000.0,12.83,148.31,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,1
131,37000,5,72000.0,13.5,254.79,2987,1,0,0,0,0,0,0,0,0,0,0,0,0,1
132,29500,5,45480.0,22.48,187.74,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1
133,7500,5,69600.0,16.78,190.0,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1
134,50000,5,22379.988,14.67,177.46,1798,0,0,1,0,0,0,0,0,0,0,0,0,0,1
135,35000,5,32400.0,15.0,204.0,2143,1,0,0,0,0,0,0,0,0,0,0,0,0,1
136,19000,5,21000.0,13.96,141.0,1451,0,0,1,0,0,0,0,0,0,0,0,0,0,1
137,41000,5,9540.0,18.0,117.6,1497,0,0,1,0,0,0,0,0,0,0,0,0,0,1
138,39000,5,7500.0,14.28,138.03,1798,0,0,1,0,0,0,0,0,0,0,0,0,1,0
139,22000,5,40800.0,18.0,190.0,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,1
140,53000,7,31800.0,12.07,241.4,2967,1,0,0,0,0,0,0,0,0,0,0,0,1,0
141,40000,5,6420.0,26.21,88.5,1248,1,0,0,0,0,1,0,0,0,0,0,0,1,0
142,47000,5,70200.0,13.5,282.0,2987,1,0,0,0,0,0,0,0,0,0,0,0,0,1
143,72200,5,11700.0,10.8,150.0,2497,0,0,1,0,0,0,0,1,0,0,0,1,0,0
144,49900,5,9660.0,16.3,147.5,1797,0,0,1,0,0,1,0,0,0,0,0,0,0,1
145,9000,5,31500.0,13.6,177.0,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,1
146,11000,5,9732.0,17.0,108.5,1198,0,0,1,0,0,1,0,0,0,0,0,0,0,1
147,49000,5,4500.0,15.04,103.6,1598,0,0,1,1,0,1,0,0,0,0,0,0,1,0
148,95000,5,6600.0,16.3,147.5,1797,0,0,1,1,0,1,0,0,0,0,0,0,1,0
149,11000,5,7740.0,14.3,103.5,1598,0,0,1,0,0,0,0,0,0,0,0,0,0,1
150,18000,5,30600.0,15.04,183.0,1991,0,0,1,0,0,0,0,0,0,0,0,0,0,1
151,46100,7,7188.0,16.02,93.7,1373,0,0,1,0,0,1,0,0,0,0,0,0,1,0
152,16000,5,32400.0,14.74,181.04,1991,0,0,1,0,0,0,0,0,0,0,0,0,0,1
153,18000,5,10500.0,15.6,116.3,1497,0,0,1,0,0,0,0,0,0,0,0,0,0,1
154,9654,5,10739.988,19.56,81.8,1197,0,0,1,0,0,0,0,0,0,0,0,0,0,1
155,11000,5,2100.0,23.95,67.05,998,0,0,1,0,0,1,0,0,0,0,0,0,1,0
156,24300,5,4080.0,21.21,81.8,1197,0,0,1,0,0,1,0,0,0,0,0,0,1,0
157,42163,7,18300.0,11.36,171.5,2755,1,0,0,0,0,0,0,1,0,0,0,0,0,1
158,8000,5,12300.0,21.5,108.5,1497,1,0,0,0,0,0,0,0,0,0,0,0,0,1
159,30000,5,25800.0,22.69,190.0,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1
160,41000,5,22800.0,19.16,157.7,2494,0,0,1,0,0,0,0,0,0,0,0,0,0,1
161,12000,5,34800.0,18.12,190.0,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1
162,71000,5,5400.0,12.1,164.7,2362,0,0,1,0,0,0,0,0,0,0,0,1,0,0
163,20000,7,10200.0,17.5,91.1,1373,0,0,1,1,0,1,0,0,0,0,0,0,0,1
164,100000,5,3600.0,20.54,103.6,1598,1,0,0,1,0,1,0,1,0,0,0,0,1,0
165,9500,5,6900.0,18.16,86.8,1196,0,0,1,1,0,1,0,0,0,0,0,0,0,1
166,120000,5,1920.0,20.0,68.0,1399,1,0,0,1,0,1,0,0,0,0,0,0,1,0
167,36600,5,6180.0,20.4,81.8,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
168,50000,5,4680.0,20.51,67.0,998,0,0,1,1,0,0,0,1,0,0,0,0,1,0
169,14000,5,6600.0,18.6,81.83,1197,0,0,1,1,0,1,0,1,0,0,0,0,0,1
170,40000,4,480.0,16.1,37.0,796,0,0,1,1,0,1,0,1,0,0,0,0,0,0
171,120000,5,2640.0,21.1,73.9,1248,1,0,0,1,0,1,0,0,0,0,0,1,0,0
172,70000,5,5100.0,18.9,82.0,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
173,13000,5,5760.0,19.44,75.0,999,0,0,1,1,0,1,0,0,0,0,0,0,0,1
174,60000,5,4800.0,18.9,82.0,1197,0,0,1,1,0,1,0,1,0,0,0,0,1,0
175,35000,5,5844.0,19.1,85.8,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
176,44000,5,4632.0,19.1,82.0,1197,0,0,1,1,0,1,0,1,0,0,0,0,0,1
177,120000,5,1200.0,13.0,100.0,1493,0,0,1,1,0,1,0,1,0,0,1,0,0,0
178,60000,5,3600.0,21.43,87.2,1364,1,0,0,1,0,1,0,0,0,0,0,1,0,0
179,60000,5,1200.0,18.5,53.0,796,0,0,1,1,0,1,0,0,0,0,1,0,0,0
180,30000,7,21000.0,13.0,168.5,2982,1,0,0,1,0,1,0,1,0,0,0,0,1,0
181,15000,6,5400.0,18.15,82.0,1198,0,0,1,1,0,1,0,1,0,0,0,0,0,1
182,90000,5,5880.0,22.95,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
183,47000,5,4140.0,17.0,118.0,1497,0,0,1,1,0,1,0,1,0,0,0,1,0,0
184,90000,5,1020.0,17.3,60.0,993,0,0,1,1,0,1,0,0,0,0,1,0,0,0
185,120600,5,2580.0,18.9,67.1,998,0,0,1,1,0,1,0,1,0,0,0,1,0,0
186,100000,5,3840.0,16.2,103.2,1599,0,0,1,1,0,1,0,0,0,1,0,1,0,0
187,60000,5,5519.988,20.85,83.14,1197,0,0,1,1,0,1,0,1,0,0,0,0,0,1
188,86000,5,780.0,15.3,83.0,1341,0,0,1,1,0,1,0,0,0,0,1,0,0,0
189,5000,5,8640.0,18.6,81.86,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
190,37000,5,9600.0,28.09,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
191,14000,5,6240.0,20.3,84.0,1199,0,0,1,1,0,1,0,0,0,0,0,0,0,1
192,70000,7,6960.0,20.77,88.76,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
193,50000,5,7200.0,17.4,117.3,1497,0,0,1,1,0,1,0,0,0,0,0,0,1,0
194,60000,5,3480.0,19.4,86.8,1198,0,0,1,1,0,1,0,1,0,0,0,0,1,0
195,50000,5,4320.0,26.6,58.16,998,0,0,0,1,0,1,0,0,0,0,0,0,0,1
196,50000,5,6600.0,20.85,83.14,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
197,70000,5,4500.0,18.5,82.85,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
198,35000,5,5040.0,20.51,67.0,998,0,0,1,1,0,0,0,0,0,0,0,0,0,1
199,20000,5,6600.0,21.21,81.8,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
200,20000,5,3240.0,24.7,47.3,796,0,0,1,1,0,1,0,0,0,0,0,0,0,1
201,7800,5,8400.0,22.0,81.8,1197,0,0,1,1,0,0,0,0,0,0,0,0,0,1
202,20000,5,6000.0,20.4,81.8,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
203,15000,7,15000.0,17.6,147.94,2179,1,0,0,1,0,1,0,0,0,0,0,0,0,1
204,31377,5,3840.0,18.5,82.85,1197,0,0,1,1,0,1,0,1,0,0,0,0,1,0
205,50000,5,8400.0,28.4,74.02,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
206,60000,5,3480.0,20.51,67.04,998,0,0,1,1,0,1,0,0,0,0,0,0,1,0
207,100000,5,6600.0,14.53,138.1,1794,0,0,1,1,0,0,0,0,0,0,0,0,1,0
208,60000,5,3180.0,19.4,86.8,1198,0,0,1,1,0,1,0,0,0,0,0,0,1,0
209,5000,5,9960.0,21.4,83.1,1197,0,0,1,1,0,0,0,0,0,0,0,0,0,1
210,60000,7,9600.0,14.1,147.94,2179,1,0,0,1,0,1,0,0,0,0,0,0,0,1
211,25000,5,1920.0,19.7,46.3,796,0,0,1,1,0,1,0,1,0,0,0,0,1,0
212,30000,5,4020.0,25.17,53.3,799,0,0,1,1,0,1,0,0,0,0,0,0,0,1
213,80000,5,3948.0,20.63,67.0,1198,0,0,1,1,0,1,0,1,0,0,0,0,0,1
214,75000,5,9300.0,24.3,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
215,32000,5,6288.0,20.14,81.86,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
216,40000,5,2940.0,22.74,47.3,796,0,0,1,1,0,1,0,0,0,0,0,0,1,0
217,93000,5,3300.0,17.0,80.0,1197,0,0,1,1,0,1,0,1,0,0,0,0,1,0
218,60000,5,6240.0,17.57,88.7,1193,0,0,1,1,0,1,0,0,0,0,0,0,0,1
219,37000,5,6600.0,16.95,97.7,1498,0,0,1,1,0,1,0,0,0,0,0,0,1,0
220,15000,5,10920.0,17.0,121.36,1497,0,0,1,1,0,1,0,0,0,0,0,0,0,1
221,80000,5,3600.0,19.49,67.04,1198,0,0,1,1,0,1,0,0,0,0,0,0,1,0
222,140000,5,4200.0,20.51,67.04,998,0,0,1,1,0,1,0,0,0,0,0,0,0,1
223,70000,7,10800.0,12.83,162.0,2696,1,0,0,1,0,1,0,0,0,0,0,0,1,0
224,120000,7,3600.0,17.21,100.0,1493,1,0,0,1,0,1,0,1,0,0,0,0,1,0
225,110000,5,3000.0,21.1,73.9,1248,1,0,0,1,0,1,0,1,0,0,0,1,0,0
226,37000,5,13200.0,19.67,126.2,1582,1,0,0,1,0,1,0,0,0,0,0,0,0,1
227,44000,5,3240.0,25.17,53.3,799,0,0,1,1,0,1,0,0,0,0,0,0,0,1
228,80000,7,7680.0,20.77,88.76,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
229,125000,7,7800.0,15.1,140.0,2179,1,0,0,1,0,1,0,0,0,0,0,0,1,0
230,13500,5,4919.988,15.37,73.0,1196,0,0,1,1,0,1,0,0,0,0,0,0,0,1
231,75000,5,1980.0,17.92,62.1,1086,0,0,1,1,0,1,0,0,0,0,0,0,1,0
232,120000,5,960.0,13.2,94.0,1495,0,0,1,1,0,1,0,1,0,0,0,1,0,0
233,120000,7,6420.0,15.1,140.0,2179,1,0,0,1,0,1,0,0,0,0,0,0,1,0
234,70000,7,8400.0,12.99,100.57,2494,1,0,0,1,0,1,0,0,0,0,0,0,1,0
235,70000,5,6600.0,23.4,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
236,15000,5,8160.0,19.0,88.76,1199,0,0,1,1,0,0,0,0,0,0,0,0,0,1
237,53000,5,2400.0,20.36,78.9,1197,0,0,1,1,0,1,0,1,0,0,0,1,0,0
238,120000,5,6000.0,23.4,74.0,1248,1,0,0,1,0,1,0,1,0,0,0,0,1,0
239,70000,7,12000.0,24.52,88.5,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
240,120000,5,1320.0,14.2,82.9,1341,0,0,1,1,0,1,0,1,0,0,0,1,0,0
241,100000,5,3840.0,18.5,80.0,1197,0,0,1,1,0,1,0,1,0,0,0,0,1,0
242,100000,5,4200.0,20.4,83.11,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
243,162500,5,2040.0,19.4,70.0,1405,1,0,0,1,0,1,0,0,0,0,0,0,1,0
244,39000,5,9600.0,22.54,88.73,1396,1,0,0,1,0,1,0,0,0,0,0,0,0,1
245,75000,5,6000.0,26.8,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,0,1
246,50000,7,16560.0,17.6,153.86,2179,1,0,0,1,0,0,0,0,0,0,0,0,0,1
247,40000,8,15600.0,17.3,121.0,1497,1,0,0,1,0,1,0,0,0,0,0,0,0,1
248,92500,5,6360.0,22.32,126.3,1582,1,0,0,1,0,1,0,0,0,0,0,0,1,0
249,158000,5,4320.0,23.4,74.0,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
250,120000,5,3720.0,19.3,73.9,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
251,50000,5,8700.0,26.0,98.6,1498,1,0,0,1,0,1,0,1,0,0,0,0,1,0
252,110000,5,4080.0,19.3,73.9,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
253,2000,5,6600.0,25.4,73.97,1186,1,0,0,1,0,1,0,1,0,0,0,0,0,1
254,181000,7,13800.0,11.5,171.0,2982,1,0,0,1,0,1,0,1,0,0,0,0,1,0
255,70000,5,4560.0,27.28,69.0,1047,1,0,0,1,0,1,0,0,0,0,0,0,0,1
256,90000,5,4200.0,17.97,99.6,1498,0,0,1,1,0,0,0,1,0,0,0,0,1,0
257,2000,5,7320.0,18.6,81.86,1197,0,0,1,1,0,1,0,0,0,0,0,0,0,1
258,20000,5,6300.0,20.85,83.14,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
259,120000,7,5760.0,12.8,102.0,2494,1,0,0,1,0,1,0,0,0,0,0,0,1,0
260,35000,6,9360.0,16.55,105.0,2498,1,0,0,1,0,1,0,0,0,0,0,0,0,1
261,193000,5,3840.0,19.3,73.9,1248,1,0,0,1,0,1,0,0,0,0,0,0,1,0
262,80000,5,4500.0,20.4,81.8,1197,0,0,1,1,0,1,0,0,0,0,0,0,1,0
263,40000,5,3600.0,19.02,67.05,1198,0,0,1,1,0,1,0,0,0,0,0,0,0,1
264,70000,5,6000.0,22.54,88.73,1396,1,0,0,1,0,1,1,0,0,0,0,0,1,0
265,122358,9,4848.0,12.05,120.0,2179,1,0,0,1,0,1,0,0,0,0,0,0,1,0
266,75000,7,6000.0,14.07,69.01,2956,1,0,0,1,0,1,0,0,0,0,0,0,1,0
